Seasons,Age,AVG,WAR,OBP,wOBA,BABIP,HR,RBI,SLG,Contact%,OPS
12,25,0.303,82.2,0.415,0.419,0.347,350,896,0.587,0.8079999999999999,1.002
16,31,0.297,58.0,0.412,0.396,0.339,342,1106,0.513,0.797,0.926
12,28,0.302,57.5,0.372,0.358,0.324,158,729,0.46,0.852,0.831
15,32,0.298,55.6,0.352,0.358,0.313,306,1166,0.488,0.853,0.839
15,29,0.265,54.6,0.334,0.344,0.296,331,1131,0.472,0.7759999999999999,0.806
16,32,0.283,54.4,0.332,0.322,0.3,160,909,0.407,0.851,0.739
16,32,0.307,54.1,0.384,0.384,0.337,403,1443,0.521,0.7879999999999999,0.905
12,29,0.295,54.0,0.391,0.388,0.349,315,1042,0.527,0.77,0.917
13,30,0.246,52.5,0.348,0.33,0.281,181,706,0.394,0.7929999999999999,0.742
12,34,0.297,51.5,0.348,0.361,0.307,286,1021,0.497,0.823,0.845
14,29,0.277,50.9,0.369,0.362,0.315,287,1002,0.469,0.79,0.838
13,26,0.298,50.3,0.386,0.381,0.341,292,1041,0.509,0.778,0.895
9,25,0.293,50.3,0.368,0.376,0.304,213,649,0.52,0.862,0.888
13,29,0.256,49.7,0.333,0.335,0.267,253,902,0.444,0.838,0.776
12,27,0.307,48.5,0.362,0.357,0.328,192,696,0.468,0.863,0.83
11,24,0.282,46.6,0.341,0.353,0.301,283,853,0.493,0.7959999999999999,0.833
13,31,0.268,46.3,0.336,0.338,0.281,243,854,0.439,0.878,0.776
12,31,0.265,46.1,0.361,0.366,0.294,266,790,0.492,0.746,0.853
10,27,0.289,45.6,0.346,0.369,0.292,299,968,0.535,0.8109999999999999,0.881
12,34,0.27,45.5,0.357,0.351,0.292,184,740,0.452,0.853,0.809
13,29,0.301,45.4,0.367,0.354,0.316,138,718,0.441,0.899,0.808
11,24,0.28,44.2,0.39,0.385,0.32,285,817,0.523,0.735,0.913
14,30,0.296,43.7,0.358,0.379,0.325,352,1154,0.532,0.794,0.891
13,32,0.268,43.4,0.36,0.345,0.294,165,750,0.43,0.8540000000000001,0.789
16,35,0.281,43.0,0.354,0.362,0.27,453,1460,0.507,0.848,0.861
13,26,0.264,42.6,0.354,0.376,0.314,378,971,0.537,0.6829999999999999,0.89
12,30,0.304,42.5,0.386,0.356,0.341,115,767,0.432,0.873,0.819
13,33,0.247,42.1,0.338,0.348,0.285,317,849,0.468,0.7809999999999999,0.806
8,25,0.277,42.0,0.342,0.346,0.294,184,581,0.474,0.826,0.816
12,32,0.296,41.9,0.381,0.382,0.328,249,962,0.504,0.7859999999999999,0.885
10,25,0.279,41.2,0.354,0.361,0.281,192,666,0.503,0.873,0.857
16,34,0.275,40.8,0.346,0.366,0.308,453,1280,0.518,0.72,0.863
10,29,0.293,38.5,0.376,0.37,0.341,175,712,0.48,0.8109999999999999,0.856
14,31,0.256,38.4,0.342,0.326,0.303,139,578,0.398,0.86,0.74
12,28,0.291,38.1,0.361,0.37,0.313,224,774,0.499,0.836,0.861
12,32,0.249,37.6,0.365,0.367,0.261,328,921,0.484,0.7979999999999999,0.849
11,28,0.237,37.5,0.35,0.341,0.275,177,532,0.435,0.763,0.785
13,29,0.289,37.3,0.361,0.365,0.318,254,858,0.487,0.809,0.848
11,30,0.274,37.1,0.335,0.327,0.301,108,548,0.416,0.865,0.752
10,26,0.287,36.9,0.376,0.363,0.348,174,630,0.466,0.778,0.842
7,27,0.284,36.2,0.394,0.407,0.345,220,497,0.583,0.6890000000000001,0.977
11,28,0.251,35.2,0.321,0.328,0.272,242,807,0.442,0.8059999999999999,0.763
14,27,0.27,35.1,0.326,0.307,0.305,96,731,0.371,0.847,0.697
12,27,0.265,35.0,0.366,0.363,0.278,283,889,0.481,0.815,0.847
14,30,0.289,34.7,0.366,0.359,0.315,164,663,0.466,0.851,0.832
14,29,0.275,34.7,0.339,0.349,0.305,264,945,0.474,0.7959999999999999,0.813
16,27,0.261,34.7,0.342,0.35,0.319,325,1003,0.469,0.723,0.812
11,29,0.29,34.5,0.346,0.345,0.344,142,565,0.453,0.765,0.798
12,30,0.287,34.3,0.36,0.36,0.315,286,1096,0.486,0.7909999999999999,0.846
10,25,0.292,34.3,0.356,0.35,0.336,156,683,0.458,0.7979999999999999,0.814
10,28,0.285,34.1,0.368,0.362,0.31,156,635,0.48,0.867,0.847
12,30,0.282,33.8,0.338,0.332,0.304,112,534,0.426,0.863,0.765
13,26,0.257,33.3,0.339,0.327,0.294,159,641,0.406,0.807,0.746
14,31,0.275,33.2,0.378,0.361,0.335,215,759,0.448,0.763,0.826
9,28,0.269,32.9,0.358,0.364,0.302,221,584,0.494,0.74,0.851
12,31,0.263,32.9,0.369,0.357,0.31,170,613,0.456,0.8170000000000001,0.825
8,27,0.279,32.3,0.376,0.375,0.335,172,501,0.503,0.735,0.879
9,35,0.276,32.2,0.369,0.377,0.299,232,739,0.51,0.754,0.879
11,33,0.27,32.0,0.365,0.36,0.32,204,693,0.46,0.8009999999999999,0.825
14,30,0.257,32.0,0.338,0.328,0.309,190,749,0.41,0.778,0.748
8,26,0.302,31.7,0.355,0.359,0.344,124,434,0.487,0.785,0.842
8,24,0.279,31.2,0.357,0.357,0.318,155,553,0.479,0.79,0.836
14,31,0.26,31.0,0.351,0.364,0.265,400,1158,0.5,0.7959999999999999,0.851
10,36,0.289,30.8,0.384,0.394,0.299,310,1005,0.553,0.8,0.937
7,25,0.277,30.8,0.375,0.372,0.285,140,490,0.497,0.861,0.872
10,33,0.257,30.7,0.321,0.32,0.271,147,545,0.413,0.87,0.734
13,30,0.283,30.5,0.343,0.327,0.333,87,454,0.407,0.81,0.749
14,30,0.294,30.4,0.338,0.334,0.341,123,694,0.431,0.8029999999999999,0.769
