id,g,war,era,k/9,cg,sv
200,31,11.6,2.07,13.2,5,0
815,34,10.7,2.05,9.95,9,0
60,35,10.4,2.49,13.41,3,0
60,35,9.6,2.64,12.56,8,0
642,36,9.6,2.38,9.0,7,0
60,35,9.6,2.6,10.62,4,0
60,30,9.5,2.48,12.35,6,0
60,35,9.5,2.48,12.06,12,0
200,29,9.4,1.74,11.78,7,0
73,36,9.3,3.23,10.97,5,0
815,35,9.2,2.93,9.92,14,0
10954,32,9.0,1.7,11.16,1,0
1004852,35,8.9,1.53,8.72,16,0
1001964,38,8.8,2.34,8.47,13,0
1303,32,8.7,2.35,8.47,8,0
1943,33,8.7,2.16,9.5,6,0
1011691,37,8.6,2.22,10.0,7,0
2036,33,8.6,2.13,11.64,4,0
815,35,8.5,2.62,7.99,13,0
200,31,8.5,1.9,11.37,13,0
115,35,8.4,2.94,9.79,6,0
815,36,8.4,2.97,8.18,18,0
8700,35,8.4,3.45,10.09,3,0
1004852,31,8.3,2.6,11.39,7,0
73,35,8.3,3.25,10.05,15,0
1001964,38,8.2,3.1,8.71,19,0
815,31,8.2,1.93,8.24,7,0
815,33,8.2,2.65,10.39,5,0
73,35,8.2,2.97,11.29,7,0
60,35,8.1,2.32,11.56,8,0
104,33,8.0,2.2,6.85,5,0
710,34,8.0,2.7,10.03,5,0
2036,27,7.9,1.77,10.85,6,0
104,28,7.9,1.63,7.77,10,0
301,30,7.8,2.43,10.43,3,0
104,35,7.8,2.72,6.32,5,0
60,34,7.6,3.28,12.12,10,0
815,32,7.6,2.41,7.59,11,0
10603,32,7.6,2.9,12.93,1,0
5705,32,7.6,2.48,10.42,4,0
1011355,36,7.5,2.16,6.62,12,0
104,36,7.5,2.36,6.64,8,0
13125,33,7.5,2.5,13.82,0,0
104,34,7.5,2.22,7.31,9,0
3137,33,7.5,2.53,12.24,2,0
200,30,7.4,2.26,10.79,2,0
104,25,7.4,1.56,6.95,10,0
1001964,37,7.4,3.11,8.73,8,0
200,29,7.4,2.22,9.93,3,0
1012289,35,7.4,2.79,9.57,13,0
2036,33,7.3,2.28,9.57,5,0
642,35,7.3,3.0,7.89,5,0
404,35,7.3,2.7,8.93,10,0
1636,28,7.3,3.18,7.84,7,0
73,35,7.2,2.98,10.27,6,0
104,35,7.2,3.0,6.86,6,0
2429,29,7.2,2.25,11.71,5,0
2429,34,7.2,2.44,10.27,3,0
840,35,7.2,2.88,6.22,4,0
