Seasons,H,WAR,ERA,K/9,H/9,ER,HBP,K-BB%,Contact%,FB%
14,2452,75.1,3.2,9.31,7.44,1055,97,0.187,0.772,0.424
15,1955,73.4,2.48,9.79,6.82,711,39,0.214,0.743,0.336
15,2180,70.3,3.11,10.71,7.32,927,107,0.23,0.727,0.433
16,2666,61.7,3.24,8.23,8.24,1050,54,0.17,0.778,0.341
13,2307,49.1,3.39,8.47,8.09,967,97,0.161,0.752,0.34700000000000003
13,2231,48.4,3.36,8.33,8.18,916,97,0.153,0.7809999999999999,0.289
15,2360,46.7,3.38,7.5,8.53,935,76,0.136,0.8079999999999999,0.304
13,2324,45.4,3.63,8.06,8.67,973,88,0.147,0.7709999999999999,0.33299999999999996
11,1362,45.4,3.03,11.07,7.31,565,103,0.248,0.726,0.359
15,2519,45.3,3.63,8.22,8.53,1071,85,0.142,0.792,0.33399999999999996
14,1930,42.5,3.32,8.72,8.1,790,63,0.172,0.7929999999999999,0.35600000000000004
9,1021,41.1,2.52,10.91,6.93,372,21,0.25,0.713,0.33899999999999997
8,1463,40.2,3.15,7.98,8.71,529,29,0.17800000000000002,0.825,0.365
10,1417,39.1,3.31,9.55,8.04,584,61,0.20800000000000002,0.742,0.345
10,1392,38.7,3.23,10.53,7.59,593,48,0.22699999999999998,0.741,0.354
11,1217,36.6,3.24,10.55,7.45,530,53,0.223,0.748,0.33
7,1335,35.3,3.17,7.48,8.5,497,45,0.16,0.8009999999999999,0.298
14,1981,32.8,3.42,8.46,8.13,834,88,0.17,0.789,0.379
11,1698,32.8,3.75,8.0,8.87,718,41,0.142,0.805,0.33399999999999996
15,2029,32.4,3.44,7.44,8.33,839,117,0.131,0.804,0.349
10,1195,32.3,3.5,10.81,7.23,579,66,0.214,0.735,0.38299999999999995
13,1744,32.2,3.7,8.66,8.12,795,50,0.127,0.778,0.327
9,1792,31.7,3.64,7.73,8.67,753,44,0.161,0.8009999999999999,0.396
11,1554,31.2,3.52,9.05,8.2,667,76,0.156,0.7809999999999999,0.35700000000000004
12,2440,30.6,3.97,7.69,8.81,1100,92,0.136,0.778,0.369
8,1056,29.9,3.6,10.11,7.74,492,48,0.21,0.748,0.32299999999999995
12,2270,29.6,4.4,6.7,9.75,1025,84,0.12,0.8320000000000001,0.32299999999999995
15,1870,29.4,4.13,8.05,8.84,874,56,0.13,0.784,0.37200000000000005
11,1752,29.0,4.34,8.3,8.47,898,78,0.10800000000000001,0.799,0.332
11,1818,27.8,3.69,7.02,8.42,798,52,0.124,0.792,0.47100000000000003
13,1385,27.6,3.87,9.37,8.61,623,45,0.188,0.742,0.317
10,1506,27.5,3.74,9.29,8.06,699,44,0.15,0.7509999999999999,0.32799999999999996
10,1360,27.1,3.71,8.07,8.09,623,45,0.149,0.797,0.419
9,1999,27.0,3.8,5.05,9.7,784,42,0.08199999999999999,0.855,0.35200000000000004
15,1687,26.7,4.03,8.5,8.45,805,156,0.138,0.78,0.273
10,1900,25.8,3.87,7.29,8.99,818,91,0.128,0.8059999999999999,0.35600000000000004
8,1061,25.8,3.42,9.02,8.05,451,51,0.16699999999999998,0.7809999999999999,0.308
10,1352,25.6,3.93,9.09,9.0,591,30,0.174,0.7509999999999999,0.354
11,1673,25.4,4.07,7.09,9.33,730,60,0.13699999999999998,0.825,0.36700000000000005
10,1192,25.1,3.56,8.68,7.73,549,45,0.147,0.769,0.29
11,1888,25.0,4.54,7.28,9.72,882,46,0.134,0.7909999999999999,0.366
9,1662,23.9,4.11,8.48,8.59,796,104,0.128,0.782,0.304
12,1450,23.6,3.98,8.0,8.09,713,64,0.128,0.805,0.302
11,1668,23.6,3.67,7.23,8.12,753,56,0.114,0.813,0.413
14,2071,23.4,4.06,7.28,8.67,969,85,0.11900000000000001,0.7929999999999999,0.39399999999999996
10,1600,22.5,4.31,8.58,9.36,736,41,0.151,0.757,0.303
9,1216,22.4,3.46,7.4,8.34,504,57,0.146,0.795,0.32299999999999995
7,1254,22.4,3.45,6.73,8.56,505,38,0.127,0.7859999999999999,0.315
13,495,22.3,2.46,12.96,5.79,210,28,0.29,0.6990000000000001,0.461
11,1619,22.0,4.04,7.27,8.77,745,50,0.111,0.813,0.373
14,1822,21.7,4.13,7.89,8.66,868,41,0.12300000000000001,0.81,0.39899999999999997
10,1122,21.7,3.79,9.82,7.78,547,66,0.16899999999999998,0.7609999999999999,0.379
8,1177,21.5,3.9,8.26,8.56,536,49,0.155,0.799,0.363
8,1137,21.2,3.62,7.5,8.77,469,28,0.134,0.787,0.237
12,1770,21.1,4.06,7.85,8.77,820,24,0.11199999999999999,0.8109999999999999,0.33
6,806,21.0,3.42,9.2,8.51,324,23,0.192,0.747,0.312
7,1046,20.9,3.72,7.21,9.02,431,39,0.132,0.8140000000000001,0.33299999999999996
10,1456,20.8,3.72,6.14,9.21,588,72,0.107,0.848,0.313
10,1232,20.8,3.93,9.64,8.17,592,41,0.171,0.745,0.348
11,1594,20.5,3.98,6.9,9.03,702,37,0.109,0.794,0.22699999999999998
13,398,20.2,2.31,14.36,5.2,177,31,0.298,0.648,0.40700000000000003
13,366,20.1,2.48,14.7,5.15,176,30,0.28,0.6459999999999999,0.368
12,1541,19.8,4.28,8.83,8.31,793,61,0.11900000000000001,0.72,0.315
12,1858,19.8,4.54,7.11,9.47,891,70,0.11199999999999999,0.8059999999999999,0.363
13,1555,19.7,4.15,7.93,8.51,759,60,0.139,0.792,0.365
8,960,19.7,3.27,8.04,8.61,364,16,0.16399999999999998,0.785,0.306
9,1042,19.6,3.64,7.89,8.13,466,22,0.13699999999999998,0.7829999999999999,0.376
11,1307,19.6,4.16,7.59,9.35,581,35,0.131,0.7979999999999999,0.327
11,1770,19.1,4.29,6.07,10.05,755,29,0.115,0.877,0.37200000000000005
12,1663,19.1,4.13,7.12,9.25,742,41,0.10300000000000001,0.802,0.29
7,780,19.1,3.45,8.38,8.47,318,20,0.14800000000000002,0.7809999999999999,0.315
7,983,18.9,3.74,8.46,8.39,438,26,0.182,0.748,0.324
5,925,18.9,3.98,8.45,8.37,440,26,0.161,0.777,0.425
5,618,18.8,3.17,10.64,7.91,248,15,0.239,0.7040000000000001,0.325
13,957,18.7,3.71,9.37,7.58,468,70,0.159,0.782,0.41
9,1185,18.6,3.61,7.98,7.97,537,69,0.109,0.8,0.316
8,1070,18.6,3.71,7.96,8.58,463,41,0.115,0.79,0.33899999999999997
9,1271,18.3,3.8,7.68,8.85,546,39,0.125,0.8140000000000001,0.354
10,1940,18.2,4.05,6.06,9.55,824,68,0.10800000000000001,0.841,0.285
6,722,18.2,3.59,9.83,7.58,342,31,0.17800000000000002,0.715,0.285
7,731,18.1,3.6,10.06,7.76,339,42,0.17600000000000002,0.7509999999999999,0.386
10,1549,17.9,4.52,7.19,9.27,755,58,0.10300000000000001,0.7709999999999999,0.276
10,1062,17.9,3.69,8.56,8.53,459,60,0.161,0.775,0.293
9,990,17.9,4.06,8.62,8.83,455,24,0.17800000000000002,0.759,0.37200000000000005
5,841,17.9,3.21,8.1,8.09,334,13,0.152,0.77,0.42700000000000005
9,1642,17.8,4.25,7.11,9.47,737,38,0.111,0.821,0.41700000000000004
12,1384,17.7,4.52,7.25,9.65,648,32,0.132,0.838,0.441
11,1350,17.6,4.25,8.13,8.62,665,43,0.145,0.792,0.41700000000000004
6,1050,17.6,3.93,6.68,9.42,438,19,0.102,0.812,0.33
8,935,17.6,4.51,9.25,8.8,479,42,0.163,0.757,0.314
10,1533,17.5,4.38,6.6,9.18,731,41,0.095,0.807,0.391
10,1712,17.4,3.79,6.5,8.52,761,79,0.09699999999999999,0.802,0.35200000000000004
13,1973,17.4,4.73,6.98,9.61,972,36,0.08900000000000001,0.7879999999999999,0.361
11,1130,17.4,3.85,7.5,8.77,496,41,0.128,0.8,0.258
7,660,17.4,3.41,10.95,7.31,308,7,0.18899999999999997,0.695,0.37200000000000005
8,684,17.4,3.59,9.91,8.16,301,9,0.192,0.75,0.35
9,1274,17.3,4.1,8.35,8.58,609,54,0.127,0.7859999999999999,0.408
9,1078,17.3,3.95,11.04,7.92,538,41,0.19,0.725,0.392
7,983,17.3,4.4,8.73,8.88,487,32,0.158,0.763,0.293
9,1394,17.1,3.45,5.64,8.5,565,59,0.08800000000000001,0.8170000000000001,0.237
7,1163,17.0,3.91,8.18,8.47,536,37,0.124,0.76,0.35100000000000003
13,1455,16.5,4.56,7.43,9.34,710,56,0.115,0.7979999999999999,0.33899999999999997
