Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,A.J. Pollock,24,81,20,31,0.0,8,11,9,0.257,0.5,0.3
2013,A.J. Pollock,25,443,119,137,2.3,38,82,33,0.314,0.478,0.34
2014,A.J. Pollock,26,265,80,75,2.9,24,46,19,0.344,0.521,0.33799999999999997
2015,A.J. Pollock,27,609,192,157,6.8,76,89,53,0.338,0.503,0.29
2016,A.J. Pollock,28,41,10,12,0.3,4,8,5,0.258,0.424,0.485
2017,A.J. Pollock,29,425,113,112,1.8,49,71,35,0.291,0.446,0.321
2018,A.J. Pollock,30,413,106,113,2.3,65,100,31,0.284,0.42200000000000004,0.384
2019,A.J. Pollock,31,308,82,86,0.3,47,74,23,0.3,0.435,0.36700000000000005
2020,A.J. Pollock,32,196,54,55,0.9,34,45,12,0.277,0.39899999999999997,0.39899999999999997
2021,A.J. Pollock,33,384,114,117,3.1,69,80,30,0.326,0.39899999999999997,0.386
2022,A.J. Pollock,34,489,120,138,0.4,56,98,32,0.278,0.452,0.358
