Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Aaron Hicks,23,281,54,81,0.4,27,84,24,0.241,0.451,0.38299999999999995
2014,Aaron Hicks,24,186,40,69,0.1,18,56,36,0.3,0.5429999999999999,0.256
2015,Aaron Hicks,25,352,90,97,2.0,33,66,34,0.285,0.418,0.354
2016,Aaron Hicks,26,327,71,123,-0.3,31,68,30,0.248,0.456,0.375
2017,Aaron Hicks,27,301,80,88,2.7,52,67,51,0.29,0.441,0.40299999999999997
2018,Aaron Hicks,28,480,119,137,4.3,79,111,90,0.264,0.4,0.384
2019,Aaron Hicks,29,221,52,59,0.6,36,72,31,0.286,0.434,0.408
2020,Aaron Hicks,30,169,38,54,1.1,21,38,41,0.256,0.45399999999999996,0.34600000000000003
2021,Aaron Hicks,31,108,21,32,0.0,14,30,14,0.224,0.35,0.45
2022,Aaron Hicks,32,384,83,130,1.4,40,109,62,0.279,0.444,0.39299999999999996
