Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Abraham Almonte,24,72,19,25,0.0,9,21,6,0.333,0.5,0.304
2014,Abraham Almonte,25,204,47,59,0.5,15,60,12,0.31,0.504,0.285
2015,Abraham Almonte,26,232,58,82,0.9,24,52,21,0.299,0.488,0.306
2016,Abraham Almonte,27,182,48,67,0.6,22,42,8,0.331,0.479,0.307
2017,Abraham Almonte,28,172,40,69,0.0,14,46,20,0.298,0.512,0.268
2018,Abraham Almonte,29,134,24,50,-0.9,9,36,15,0.219,0.51,0.354
2019,Abraham Almonte,30,31,9,17,0.6,4,8,7,0.364,0.435,0.304
2020,Abraham Almonte,31,11,1,7,-0.2,0,4,2,0.143,0.5710000000000001,0.429
2021,Abraham Almonte,32,148,32,64,0.0,19,38,26,0.255,0.46799999999999997,0.35100000000000003
2022,Abraham Almonte,33,35,9,15,-0.1,2,12,1,0.364,0.391,0.435
