Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Albert Pujols,27,565,185,158,7.7,103,58,99,0.317,0.42100000000000004,0.392
2008,Albert Pujols,28,524,187,148,8.7,116,54,104,0.34,0.402,0.374
2009,Albert Pujols,29,568,186,160,8.4,135,64,115,0.299,0.387,0.457
2010,Albert Pujols,30,587,183,159,6.8,118,76,103,0.297,0.38299999999999995,0.445
2011,Albert Pujols,31,579,173,147,3.9,99,58,61,0.277,0.447,0.38299999999999995
2012,Albert Pujols,32,607,173,154,3.3,105,76,52,0.282,0.413,0.39899999999999997
2013,Albert Pujols,33,391,101,99,0.5,64,55,40,0.258,0.382,0.42
2014,Albert Pujols,34,633,172,159,2.7,105,71,48,0.265,0.457,0.354
2015,Albert Pujols,35,602,147,157,1.6,95,72,50,0.217,0.418,0.42200000000000004
2016,Albert Pujols,36,593,159,152,0.8,119,75,49,0.26,0.439,0.395
2017,Albert Pujols,37,593,143,149,-1.9,101,93,37,0.249,0.435,0.381
2018,Albert Pujols,38,465,114,117,-0.5,64,65,28,0.247,0.402,0.375
2019,Albert Pujols,39,491,120,131,-0.6,93,68,43,0.238,0.45899999999999996,0.387
2020,Albert Pujols,40,152,34,39,-0.1,25,25,9,0.23,0.39799999999999996,0.406
2021,Albert Pujols,41,275,65,109,-0.2,50,45,14,0.223,0.461,0.379
2022,Albert Pujols,42,307,83,109,1.8,68,55,28,0.252,0.38,0.45299999999999996
