Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2009,Alcides Escobar,22,125,38,38,0.4,11,18,4,0.346,0.523,0.308
2010,Alcides Escobar,23,506,119,145,0.4,41,70,36,0.264,0.44299999999999995,0.342
2011,Alcides Escobar,24,548,139,158,1.9,46,73,25,0.285,0.532,0.287
2012,Alcides Escobar,25,605,177,155,2.6,52,100,27,0.344,0.5329999999999999,0.237
2013,Alcides Escobar,26,607,142,158,1.0,52,84,19,0.264,0.46,0.309
2014,Alcides Escobar,27,579,165,162,3.5,50,83,23,0.326,0.436,0.322
2015,Alcides Escobar,28,612,157,148,1.5,47,75,26,0.286,0.478,0.299
2016,Alcides Escobar,29,637,166,162,0.9,55,96,27,0.295,0.499,0.299
2017,Alcides Escobar,30,599,150,162,0.9,54,102,15,0.291,0.408,0.374
2018,Alcides Escobar,31,485,112,140,-0.9,34,74,29,0.263,0.462,0.322
2021,Alcides Escobar,34,319,92,75,1.6,28,56,17,0.337,0.436,0.297
2022,Alcides Escobar,35,124,27,42,-0.3,8,32,5,0.293,0.35200000000000004,0.35200000000000004
