Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Andrelton Simmons,22,166,48,49,1.8,19,21,12,0.31,0.5579999999999999,0.272
2013,Andrelton Simmons,23,606,150,157,3.5,59,55,40,0.247,0.424,0.391
2014,Andrelton Simmons,24,540,132,146,1.7,46,60,32,0.263,0.524,0.312
2015,Andrelton Simmons,25,535,142,147,3.1,44,48,39,0.285,0.562,0.22399999999999998
2016,Andrelton Simmons,26,448,126,124,2.6,44,38,28,0.298,0.5489999999999999,0.256
2017,Andrelton Simmons,27,589,164,158,4.9,69,67,47,0.291,0.495,0.315
2018,Andrelton Simmons,28,554,162,146,4.5,75,44,35,0.3,0.499,0.311
2019,Andrelton Simmons,29,398,105,103,1.9,40,37,24,0.277,0.539,0.317
2020,Andrelton Simmons,30,118,35,30,0.4,10,16,8,0.343,0.5489999999999999,0.245
2021,Andrelton Simmons,31,412,92,131,0.9,31,62,32,0.256,0.542,0.275
2022,Andrelton Simmons,32,75,13,35,-0.3,7,13,7,0.21,0.645,0.27399999999999997
