Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2009,Andrew McCutchen,22,433,124,108,3.4,54,83,54,0.327,0.423,0.391
2010,Andrew McCutchen,23,570,163,154,3.4,56,89,70,0.311,0.434,0.37799999999999995
2011,Andrew McCutchen,24,572,148,158,5.4,89,126,89,0.291,0.384,0.41700000000000004
2012,Andrew McCutchen,25,593,194,157,7.3,96,132,70,0.375,0.43799999999999994,0.34299999999999997
2013,Andrew McCutchen,26,583,185,157,8.1,84,101,78,0.353,0.40700000000000003,0.348
2014,Andrew McCutchen,27,548,172,146,7.4,83,115,84,0.355,0.39899999999999997,0.415
2015,Andrew McCutchen,28,566,165,157,6.0,96,133,98,0.339,0.382,0.382
2016,Andrew McCutchen,29,598,153,153,1.1,79,143,69,0.297,0.358,0.41700000000000004
2017,Andrew McCutchen,30,570,159,156,3.8,88,116,73,0.305,0.40700000000000003,0.374
2018,Andrew McCutchen,31,569,145,155,2.1,65,145,95,0.304,0.413,0.35700000000000004
2019,Andrew McCutchen,32,219,56,59,1.2,29,55,43,0.299,0.451,0.366
2020,Andrew McCutchen,33,217,55,57,-0.2,34,48,22,0.281,0.34700000000000003,0.435
2021,Andrew McCutchen,34,482,107,144,1.6,80,132,81,0.242,0.40299999999999997,0.40299999999999997
2022,Andrew McCutchen,35,515,122,134,0.3,69,124,57,0.278,0.418,0.375
