Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Anthony Rendon,23,351,93,98,1.0,35,69,31,0.307,0.406,0.33899999999999997
2014,Anthony Rendon,24,613,176,153,6.4,83,104,58,0.314,0.4,0.396
2015,Anthony Rendon,25,311,82,80,1.1,25,70,36,0.321,0.45299999999999996,0.33299999999999996
2016,Anthony Rendon,26,567,153,156,3.5,85,117,65,0.304,0.35700000000000004,0.43799999999999994
2017,Anthony Rendon,27,508,153,147,5.9,100,82,84,0.314,0.34,0.47200000000000003
2018,Anthony Rendon,28,529,163,136,5.9,92,82,55,0.323,0.326,0.436
2019,Anthony Rendon,29,545,174,146,6.8,126,86,80,0.323,0.331,0.457
2020,Anthony Rendon,30,189,54,52,2.5,31,31,38,0.302,0.354,0.43700000000000006
2021,Anthony Rendon,31,217,52,58,0.1,34,41,29,0.267,0.315,0.466
2022,Anthony Rendon,32,166,38,47,0.8,24,35,23,0.258,0.353,0.42100000000000004
