Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Anthony Rizzo,21,128,18,49,-0.6,9,46,21,0.21,0.42700000000000005,0.439
2012,Anthony Rizzo,22,337,96,87,1.6,48,62,27,0.31,0.455,0.302
2013,Anthony Rizzo,23,606,141,160,1.8,80,127,76,0.258,0.425,0.379
2014,Anthony Rizzo,24,524,150,140,5.3,78,116,73,0.311,0.361,0.418
2015,Anthony Rizzo,25,586,163,160,5.2,101,105,78,0.289,0.34600000000000003,0.436
2016,Anthony Rizzo,26,583,170,155,4.9,109,108,74,0.309,0.384,0.413
2017,Anthony Rizzo,27,572,156,157,4.3,109,90,91,0.273,0.40700000000000003,0.392
2018,Anthony Rizzo,28,566,160,153,3.2,101,80,70,0.287,0.379,0.373
2019,Anthony Rizzo,29,512,150,146,3.8,94,86,71,0.306,0.429,0.319
2020,Anthony Rizzo,30,203,45,58,0.9,24,38,28,0.218,0.382,0.376
2021,Anthony Rizzo,31,496,123,141,2.1,61,87,52,0.258,0.409,0.397
2022,Anthony Rizzo,32,465,104,130,2.4,75,101,58,0.216,0.332,0.493
