Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Austin Romine,22,19,3,9,-0.1,0,5,1,0.214,0.429,0.28600000000000003
2013,Austin Romine,24,135,28,60,-0.3,10,37,8,0.276,0.545,0.222
2014,Austin Romine,25,13,3,7,-0.1,1,4,0,0.333,0.556,0.222
2016,Austin Romine,27,165,40,62,-0.5,26,31,7,0.271,0.474,0.33299999999999996
2017,Austin Romine,28,229,50,80,-0.5,21,57,16,0.277,0.44799999999999995,0.299
2018,Austin Romine,29,242,59,77,1.3,42,67,17,0.292,0.486,0.322
2019,Austin Romine,30,228,64,73,0.9,35,50,10,0.327,0.48,0.33
2020,Austin Romine,31,130,31,37,-0.5,17,47,4,0.354,0.452,0.31
2021,Austin Romine,32,60,13,28,-0.4,5,22,2,0.324,0.526,0.342
2022,Austin Romine,33,129,20,51,-1.1,9,46,4,0.213,0.542,0.313
