Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Billy Hamilton,22,19,7,13,0.6,1,4,2,0.467,0.5,0.14300000000000002
2014,Billy Hamilton,23,563,141,152,2.7,48,117,34,0.304,0.415,0.373
2015,Billy Hamilton,24,412,93,114,1.2,28,75,28,0.264,0.426,0.37799999999999995
2016,Billy Hamilton,25,411,107,119,3.6,17,93,36,0.329,0.47700000000000004,0.305
2017,Billy Hamilton,26,582,144,139,1.8,38,133,44,0.313,0.45799999999999996,0.306
2018,Billy Hamilton,27,504,119,153,1.9,29,132,46,0.309,0.379,0.35200000000000004
2019,Billy Hamilton,28,316,69,119,-0.4,15,87,32,0.299,0.387,0.365
2020,Billy Hamilton,29,32,4,31,0.1,2,7,2,0.12,0.192,0.5379999999999999
2021,Billy Hamilton,30,127,28,71,0.2,11,47,4,0.329,0.363,0.4
2022,Billy Hamilton,31,20,1,37,-0.1,0,12,2,0.125,0.16699999999999998,0.667
