Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Brad Miller,23,306,81,76,2.2,36,52,24,0.294,0.46,0.324
2014,Brad Miller,24,367,81,123,1.2,36,95,34,0.268,0.42200000000000004,0.385
2015,Brad Miller,25,438,113,144,1.3,46,101,47,0.307,0.484,0.314
2016,Brad Miller,26,548,133,152,1.4,81,149,47,0.277,0.44799999999999995,0.368
2017,Brad Miller,27,338,68,110,0.0,40,110,63,0.265,0.474,0.361
2018,Brad Miller,28,230,57,75,-0.1,29,82,22,0.35,0.396,0.40299999999999997
2019,Brad Miller,29,154,40,79,1.2,25,45,15,0.281,0.396,0.47200000000000003
2020,Brad Miller,30,142,33,48,0.8,25,46,25,0.289,0.423,0.34
2021,Brad Miller,31,331,75,140,0.7,49,112,45,0.276,0.45399999999999996,0.36700000000000005
2022,Brad Miller,32,222,47,81,-1.1,32,70,18,0.274,0.42100000000000004,0.408
