Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Brandon Belt,23,187,42,63,0.6,18,57,20,0.273,0.423,0.43799999999999994
2012,Brandon Belt,24,411,113,145,1.8,56,106,54,0.351,0.379,0.366
2013,Brandon Belt,25,509,147,150,4.2,67,125,52,0.351,0.344,0.413
2014,Brandon Belt,26,214,52,61,0.7,27,64,18,0.288,0.38,0.44
2015,Brandon Belt,27,492,138,137,3.9,68,147,56,0.363,0.33299999999999996,0.379
2016,Brandon Belt,28,542,149,156,3.7,82,148,104,0.346,0.263,0.46
2017,Brandon Belt,29,382,92,104,2.4,51,104,66,0.284,0.297,0.469
2018,Brandon Belt,30,399,101,112,1.8,46,107,49,0.311,0.24,0.47200000000000003
2019,Brandon Belt,31,526,123,156,0.6,57,127,83,0.275,0.28300000000000003,0.48700000000000004
2020,Brandon Belt,32,149,46,51,2.0,30,36,30,0.356,0.306,0.423
2021,Brandon Belt,33,325,89,97,3.4,59,103,48,0.309,0.273,0.5
2022,Brandon Belt,34,254,54,78,0.0,23,81,37,0.277,0.27399999999999997,0.5
