Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Brandon Crawford,24,196,40,66,0.4,21,31,23,0.228,0.512,0.348
2012,Brandon Crawford,25,435,108,143,1.9,45,95,33,0.307,0.47200000000000003,0.301
2013,Brandon Crawford,26,499,124,149,2.2,43,96,42,0.29,0.493,0.318
2014,Brandon Crawford,27,491,121,153,2.7,69,129,59,0.307,0.379,0.42
2015,Brandon Crawford,28,507,130,143,4.3,84,119,39,0.294,0.47700000000000004,0.335
2016,Brandon Crawford,29,553,152,155,4.4,84,115,57,0.322,0.426,0.361
2017,Brandon Crawford,30,518,131,144,1.8,77,113,42,0.293,0.462,0.344
2018,Brandon Crawford,31,531,135,151,2.5,54,122,50,0.303,0.43700000000000006,0.308
2019,Brandon Crawford,32,500,114,147,0.4,59,117,53,0.274,0.48200000000000004,0.284
2020,Brandon Crawford,33,172,44,54,1.6,28,47,15,0.303,0.41700000000000004,0.354
2021,Brandon Crawford,34,483,144,138,6.2,90,105,56,0.334,0.39799999999999996,0.414
2022,Brandon Crawford,35,407,94,118,2.0,52,98,39,0.28,0.466,0.35700000000000004
