Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Bryce Harper,19,533,144,139,4.4,59,120,56,0.31,0.446,0.32899999999999996
2013,Bryce Harper,20,424,116,118,4.1,58,94,61,0.306,0.467,0.33399999999999996
2014,Bryce Harper,21,352,96,100,1.6,32,104,38,0.352,0.436,0.34600000000000003
2015,Bryce Harper,22,521,172,153,9.3,99,131,124,0.369,0.385,0.39299999999999996
2016,Bryce Harper,23,506,123,147,2.7,86,117,108,0.264,0.40399999999999997,0.424
2017,Bryce Harper,24,420,134,111,4.2,87,99,68,0.356,0.40399999999999997,0.376
2018,Bryce Harper,25,550,137,159,3.0,100,169,130,0.289,0.39799999999999996,0.38
2019,Bryce Harper,26,573,149,157,4.0,114,178,99,0.313,0.38299999999999995,0.37799999999999995
2020,Bryce Harper,27,190,51,58,1.9,33,43,49,0.279,0.361,0.45799999999999996
2021,Bryce Harper,28,488,151,141,6.6,84,134,100,0.359,0.40700000000000003,0.373
2022,Bryce Harper,29,370,106,99,2.4,65,87,46,0.324,0.415,0.345
