Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Carlos Santana,24,150,39,46,1.6,22,29,37,0.277,0.35,0.439
2011,Carlos Santana,25,552,132,155,0.3,79,133,97,0.263,0.447,0.4
2012,Carlos Santana,26,507,128,143,0.0,76,101,91,0.278,0.431,0.37799999999999995
2013,Carlos Santana,27,541,145,154,2.3,74,110,93,0.301,0.425,0.35700000000000004
2014,Carlos Santana,28,541,125,152,2.2,85,124,113,0.249,0.401,0.40399999999999997
2015,Carlos Santana,29,550,127,154,2.1,85,122,108,0.261,0.445,0.371
2016,Carlos Santana,30,582,151,158,3.2,87,99,99,0.258,0.428,0.41200000000000003
2017,Carlos Santana,31,571,148,154,3.1,79,94,88,0.274,0.408,0.39299999999999996
2018,Carlos Santana,32,560,128,161,2.5,86,93,110,0.231,0.40299999999999997,0.43700000000000006
2019,Carlos Santana,33,573,161,158,4.8,93,108,108,0.293,0.452,0.377
2020,Carlos Santana,34,206,41,60,0.7,30,43,47,0.212,0.42700000000000005,0.396
2021,Carlos Santana,35,565,121,158,-0.5,69,102,86,0.227,0.456,0.366
2022,Carlos Santana,36,431,87,131,1.0,60,88,71,0.209,0.392,0.439
