Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Cesar Hernandez,23,121,35,34,-0.5,10,26,9,0.368,0.522,0.228
2014,Cesar Hernandez,24,114,27,66,-0.3,4,33,9,0.321,0.532,0.20800000000000002
2015,Cesar Hernandez,25,405,110,127,1.3,35,86,40,0.342,0.5429999999999999,0.21899999999999997
2016,Cesar Hernandez,26,547,161,155,3.5,39,116,66,0.363,0.5489999999999999,0.207
2017,Cesar Hernandez,27,511,150,128,2.8,34,104,61,0.353,0.528,0.24600000000000002
2018,Cesar Hernandez,28,605,153,161,2.0,60,155,95,0.315,0.45899999999999996,0.336
2019,Cesar Hernandez,29,612,171,161,1.4,71,100,45,0.313,0.486,0.287
2020,Cesar Hernandez,30,233,66,58,2.1,20,57,24,0.364,0.491,0.275
2021,Cesar Hernandez,31,570,132,149,1.6,62,135,59,0.266,0.467,0.35100000000000003
2022,Cesar Hernandez,32,560,139,147,0.4,34,114,45,0.309,0.465,0.307
