Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Chris Owings,21,55,16,20,0.2,5,10,6,0.356,0.467,0.289
2014,Chris Owings,22,310,81,91,1.5,26,67,16,0.314,0.446,0.314
2015,Chris Owings,23,515,117,147,-1.1,43,144,26,0.305,0.39399999999999996,0.342
2016,Chris Owings,24,437,121,119,0.9,49,87,20,0.334,0.49700000000000005,0.272
2017,Chris Owings,25,362,97,97,0.3,51,87,17,0.318,0.425,0.35600000000000004
2018,Chris Owings,26,281,58,106,-0.8,22,75,24,0.265,0.39299999999999996,0.38299999999999995
2019,Chris Owings,27,180,25,67,-1.2,14,78,14,0.222,0.574,0.27699999999999997
2020,Chris Owings,28,41,11,17,0.0,5,11,3,0.321,0.36700000000000005,0.433
2021,Chris Owings,29,43,14,21,0.5,5,15,7,0.481,0.39299999999999996,0.429
2022,Chris Owings,30,56,6,27,-0.7,0,24,10,0.188,0.5329999999999999,0.267
