Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Corey Dickerson,24,194,51,69,0.7,17,41,16,0.307,0.40299999999999997,0.33799999999999997
2014,Corey Dickerson,25,436,136,131,2.8,76,101,37,0.356,0.368,0.365
2015,Corey Dickerson,26,224,68,65,0.6,31,56,10,0.367,0.381,0.321
2016,Corey Dickerson,27,510,125,148,0.5,70,134,33,0.285,0.376,0.45
2017,Corey Dickerson,28,588,166,150,2.4,62,152,35,0.338,0.418,0.358
2018,Corey Dickerson,29,504,151,135,2.9,55,80,21,0.333,0.376,0.35200000000000004
2019,Corey Dickerson,30,260,79,78,1.2,59,56,16,0.344,0.36200000000000004,0.386
2020,Corey Dickerson,31,194,50,52,0.2,17,35,15,0.283,0.522,0.34
2021,Corey Dickerson,32,336,91,109,0.9,29,68,25,0.323,0.48700000000000004,0.32
2022,Corey Dickerson,33,281,75,97,0.5,36,48,12,0.301,0.46,0.32799999999999996
