Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Dee Strange-Gordon,23,224,68,56,0.6,11,27,7,0.345,0.5589999999999999,0.212
2012,Dee Strange-Gordon,24,303,69,87,-1.3,17,62,20,0.281,0.589,0.205
2013,Dee Strange-Gordon,25,94,22,38,0.0,6,21,10,0.292,0.49200000000000005,0.302
2014,Dee Strange-Gordon,26,609,176,148,3.6,34,107,31,0.346,0.597,0.191
2015,Dee Strange-Gordon,27,615,205,145,4.8,46,91,25,0.383,0.598,0.187
2016,Dee Strange-Gordon,28,325,87,79,0.7,14,55,18,0.319,0.5870000000000001,0.228
2017,Dee Strange-Gordon,29,653,201,158,2.8,33,93,25,0.354,0.5760000000000001,0.196
2018,Dee Strange-Gordon,30,556,149,141,0.1,36,80,9,0.304,0.552,0.22399999999999998
2019,Dee Strange-Gordon,31,393,108,117,0.5,34,61,18,0.313,0.535,0.254
2020,Dee Strange-Gordon,32,75,15,33,-0.4,3,13,5,0.242,0.45,0.3
2022,Dee Strange-Gordon,34,59,18,23,-0.3,2,8,0,0.353,0.5710000000000001,0.204
