Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Didi Gregorius,22,20,6,8,0.1,2,5,0,0.4,0.667,0.2
2013,Didi Gregorius,23,357,90,103,1.5,28,65,37,0.29,0.371,0.419
2014,Didi Gregorius,24,270,61,80,0.3,27,52,22,0.257,0.374,0.429
2015,Didi Gregorius,25,525,139,155,3.1,56,85,33,0.297,0.447,0.341
2016,Didi Gregorius,26,562,155,153,2.3,70,82,19,0.29,0.401,0.40299999999999997
2017,Didi Gregorius,27,534,153,136,2.5,87,70,25,0.287,0.36200000000000004,0.43799999999999994
2018,Didi Gregorius,28,504,135,134,3.4,86,69,48,0.259,0.389,0.41600000000000004
2019,Didi Gregorius,29,324,77,82,-0.4,61,53,17,0.237,0.375,0.441
2020,Didi Gregorius,30,215,61,60,0.8,40,28,15,0.285,0.36200000000000004,0.431
2021,Didi Gregorius,31,368,77,103,-0.9,54,67,25,0.217,0.369,0.45399999999999996
2022,Didi Gregorius,32,214,45,63,-0.3,19,36,13,0.246,0.39899999999999997,0.41
