Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Eduardo Escobar,23,131,28,50,-0.2,9,31,11,0.277,0.505,0.28300000000000003
2013,Eduardo Escobar,24,165,39,66,0.0,10,34,11,0.279,0.419,0.37200000000000005
2014,Eduardo Escobar,25,433,119,133,2.6,37,93,24,0.336,0.41100000000000003,0.349
2015,Eduardo Escobar,26,409,107,127,1.9,58,86,28,0.301,0.42,0.387
2016,Eduardo Escobar,27,352,83,105,0.3,37,72,21,0.28,0.391,0.374
2017,Eduardo Escobar,28,457,116,129,1.7,73,98,33,0.279,0.337,0.45299999999999996
2018,Eduardo Escobar,29,566,154,151,3.5,84,126,52,0.308,0.321,0.431
2019,Eduardo Escobar,30,636,171,158,2.9,118,130,50,0.283,0.32799999999999996,0.446
2020,Eduardo Escobar,31,203,43,54,-0.5,20,41,15,0.244,0.36,0.402
2021,Eduardo Escobar,32,549,139,146,2.6,90,124,48,0.279,0.315,0.47100000000000003
2022,Eduardo Escobar,33,495,119,136,2.3,69,129,40,0.281,0.298,0.473
