Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Ehire Adrianza,23,18,4,9,0.2,3,5,1,0.25,0.41700000000000004,0.33299999999999996
2014,Ehire Adrianza,24,97,23,53,0.0,5,22,5,0.303,0.355,0.395
2015,Ehire Adrianza,25,113,21,52,0.2,11,20,15,0.226,0.5329999999999999,0.322
2016,Ehire Adrianza,26,63,16,40,-0.3,7,13,2,0.292,0.408,0.38799999999999996
2017,Ehire Adrianza,27,162,43,70,0.7,24,25,16,0.291,0.40700000000000003,0.39299999999999996
2018,Ehire Adrianza,28,335,84,114,1.1,39,82,24,0.313,0.375,0.371
2019,Ehire Adrianza,29,202,55,84,0.7,22,40,20,0.311,0.409,0.32299999999999995
2020,Ehire Adrianza,30,89,17,44,0.3,3,23,11,0.258,0.369,0.385
2021,Ehire Adrianza,31,182,45,109,0.6,28,42,21,0.29,0.408,0.359
2022,Ehire Adrianza,32,97,17,37,-0.5,7,25,11,0.233,0.507,0.29600000000000004
