Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2009,Elvis Andrus,20,480,128,145,3.3,40,77,40,0.305,0.551,0.23
2010,Elvis Andrus,21,588,156,148,2.1,35,96,64,0.317,0.611,0.195
2011,Elvis Andrus,22,587,164,150,4.0,60,74,56,0.312,0.5579999999999999,0.21100000000000002
2012,Elvis Andrus,23,629,180,158,3.7,62,96,57,0.332,0.5710000000000001,0.21
2013,Elvis Andrus,24,620,168,156,2.8,67,97,52,0.312,0.563,0.22399999999999998
2014,Elvis Andrus,25,619,163,157,1.8,41,96,46,0.305,0.586,0.209
2015,Elvis Andrus,26,596,154,160,1.8,62,78,46,0.283,0.47100000000000003,0.318
2016,Elvis Andrus,27,506,153,147,3.2,69,70,47,0.333,0.47700000000000004,0.285
2017,Elvis Andrus,28,643,191,158,4.4,88,101,38,0.325,0.485,0.315
2018,Elvis Andrus,29,395,101,97,1.2,33,66,28,0.292,0.498,0.311
2019,Elvis Andrus,30,600,165,147,1.9,72,96,34,0.305,0.51,0.27699999999999997
2020,Elvis Andrus,31,103,20,29,-0.3,7,15,8,0.2,0.494,0.35600000000000004
2021,Elvis Andrus,32,497,121,146,1.6,37,81,31,0.283,0.46,0.29600000000000004
2022,Elvis Andrus,33,535,133,149,3.5,58,92,39,0.272,0.465,0.36200000000000004
