Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Eric Hosmer,21,523,153,128,1.1,78,82,34,0.314,0.49700000000000005,0.317
2012,Eric Hosmer,22,535,124,152,-1.3,60,95,56,0.255,0.536,0.27899999999999997
2013,Eric Hosmer,23,623,188,159,3.1,79,100,51,0.335,0.527,0.249
2014,Eric Hosmer,24,503,136,131,-0.2,58,93,35,0.312,0.512,0.319
2015,Eric Hosmer,25,599,178,158,3.5,93,108,61,0.336,0.52,0.244
2016,Eric Hosmer,26,605,161,158,0.0,104,132,57,0.301,0.589,0.247
2017,Eric Hosmer,27,603,192,162,3.8,94,104,66,0.351,0.556,0.222
2018,Eric Hosmer,28,613,155,157,-0.5,69,142,62,0.302,0.604,0.19699999999999998
2019,Eric Hosmer,29,619,164,160,-0.9,99,163,40,0.323,0.56,0.231
2020,Eric Hosmer,30,143,41,38,0.8,36,28,9,0.296,0.462,0.342
2021,Eric Hosmer,31,509,137,151,0.6,65,99,48,0.313,0.555,0.258
2022,Eric Hosmer,32,380,102,104,0.3,44,64,37,0.304,0.568,0.252
