Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2008,Evan Longoria,22,448,122,122,5.6,85,122,46,0.309,0.386,0.41600000000000004
2009,Evan Longoria,23,584,164,157,7.2,113,140,72,0.313,0.391,0.418
2010,Evan Longoria,24,574,169,151,7.5,104,124,72,0.336,0.366,0.431
2011,Evan Longoria,25,483,118,133,6.3,99,93,80,0.239,0.373,0.447
2012,Evan Longoria,26,273,79,74,2.0,55,61,33,0.313,0.377,0.405
2013,Evan Longoria,27,614,165,160,5.5,88,162,70,0.312,0.369,0.445
2014,Evan Longoria,28,624,158,162,3.6,91,133,57,0.285,0.39,0.406
2015,Evan Longoria,29,604,163,160,3.8,73,132,51,0.309,0.39,0.40399999999999997
2016,Evan Longoria,30,633,173,160,4.2,98,144,42,0.298,0.319,0.46799999999999997
2017,Evan Longoria,31,613,160,156,2.4,86,109,46,0.282,0.434,0.368
2018,Evan Longoria,32,480,117,125,0.5,54,101,22,0.274,0.424,0.391
2019,Evan Longoria,33,453,115,129,2.1,69,112,43,0.291,0.41,0.373
2020,Evan Longoria,34,193,49,53,0.7,28,39,11,0.28,0.49700000000000005,0.318
2021,Evan Longoria,35,253,66,81,1.8,46,68,35,0.305,0.41200000000000003,0.401
2022,Evan Longoria,36,266,65,89,1.3,42,83,27,0.297,0.366,0.414
