Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Freddie Freeman,20,24,4,20,-0.2,1,8,0,0.2,0.43799999999999994,0.375
2011,Freddie Freeman,21,571,161,157,0.6,76,142,53,0.339,0.424,0.34600000000000003
2012,Freddie Freeman,22,540,140,147,1.7,94,129,64,0.295,0.371,0.369
2013,Freddie Freeman,23,551,176,147,5.0,109,121,66,0.371,0.382,0.35200000000000004
2014,Freddie Freeman,24,607,175,162,4.4,78,145,90,0.351,0.366,0.325
2015,Freddie Freeman,25,416,115,118,3.3,66,98,56,0.321,0.366,0.35600000000000004
2016,Freddie Freeman,26,589,178,158,6.6,91,171,89,0.37,0.303,0.405
2017,Freddie Freeman,27,440,135,117,4.6,71,95,65,0.335,0.349,0.406
2018,Freddie Freeman,28,618,191,162,4.8,98,132,76,0.358,0.364,0.313
2019,Freddie Freeman,29,597,176,158,4.4,121,127,87,0.318,0.38299999999999995,0.341
2020,Freddie Freeman,30,214,73,60,3.2,53,37,45,0.366,0.316,0.373
2021,Freddie Freeman,31,600,180,159,4.8,83,107,85,0.321,0.43,0.325
2022,Freddie Freeman,32,612,199,159,7.1,100,102,84,0.359,0.387,0.33799999999999997
