Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Giancarlo Stanton,20,359,93,100,2.6,59,123,34,0.33,0.43,0.405
2011,Giancarlo Stanton,21,516,135,150,4.2,87,166,70,0.314,0.452,0.385
2012,Giancarlo Stanton,22,449,130,123,5.0,86,143,46,0.344,0.36200000000000004,0.41700000000000004
2013,Giancarlo Stanton,23,425,106,116,2.9,62,140,74,0.313,0.434,0.385
2014,Giancarlo Stanton,24,539,155,145,6.8,105,170,94,0.353,0.41200000000000003,0.391
2015,Giancarlo Stanton,25,279,74,74,3.5,67,95,34,0.294,0.348,0.449
2016,Giancarlo Stanton,26,413,99,119,2.0,74,140,50,0.29,0.4,0.433
2017,Giancarlo Stanton,27,597,168,159,6.8,132,163,85,0.288,0.446,0.39399999999999996
2018,Giancarlo Stanton,28,617,164,158,4.2,100,211,70,0.333,0.45,0.365
2019,Giancarlo Stanton,29,59,17,18,0.4,13,24,12,0.424,0.444,0.33299999999999996
2020,Giancarlo Stanton,30,76,19,23,0.4,11,27,15,0.333,0.469,0.265
2021,Giancarlo Stanton,31,510,139,139,2.5,97,157,63,0.324,0.447,0.368
2022,Giancarlo Stanton,32,398,84,110,1.2,78,137,50,0.227,0.466,0.386
