Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,J.D. Martinez,23,208,57,53,1.1,35,48,13,0.325,0.368,0.35600000000000004
2012,J.D. Martinez,24,395,95,113,-0.3,55,96,40,0.29,0.518,0.316
2013,J.D. Martinez,25,296,74,86,-0.9,36,82,10,0.319,0.442,0.341
2014,J.D. Martinez,26,441,139,123,3.8,76,126,30,0.389,0.405,0.368
2015,J.D. Martinez,27,596,168,158,5.2,102,178,53,0.339,0.342,0.435
2016,J.D. Martinez,28,460,141,120,2.3,68,128,49,0.378,0.424,0.36200000000000004
2017,J.D. Martinez,29,432,131,119,3.4,104,128,53,0.327,0.38299999999999995,0.43200000000000005
2018,J.D. Martinez,30,569,188,150,5.8,130,146,69,0.375,0.435,0.34
2019,J.D. Martinez,31,575,175,146,3.5,105,138,72,0.342,0.428,0.348
2020,J.D. Martinez,32,211,45,54,-1.0,27,59,22,0.259,0.35100000000000003,0.435
2021,J.D. Martinez,33,570,163,148,2.8,99,150,55,0.34,0.344,0.419
2022,J.D. Martinez,34,533,146,139,1.0,62,145,52,0.345,0.382,0.397
