Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Jackie Bradley Jr.,23,95,18,37,-0.2,10,31,10,0.246,0.625,0.21899999999999997
2014,Jackie Bradley Jr.,24,384,76,127,0.2,30,121,31,0.284,0.46399999999999997,0.35600000000000004
2015,Jackie Bradley Jr.,25,221,55,74,1.9,43,69,27,0.31,0.48100000000000004,0.364
2016,Jackie Bradley Jr.,26,558,149,156,5.5,87,143,63,0.312,0.473,0.344
2017,Jackie Bradley Jr.,27,482,118,133,2.4,63,124,48,0.294,0.49,0.326
2018,Jackie Bradley Jr.,28,474,111,144,3.4,59,137,46,0.299,0.431,0.363
2019,Jackie Bradley Jr.,29,494,111,147,1.8,62,155,56,0.281,0.496,0.33399999999999996
2020,Jackie Bradley Jr.,30,191,54,55,1.6,22,48,23,0.343,0.531,0.28
2021,Jackie Bradley Jr.,31,387,63,134,-1.5,29,132,28,0.226,0.502,0.307
2022,Jackie Bradley Jr.,32,344,70,132,-0.2,38,77,24,0.251,0.506,0.325
