Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Jake Marisnick,22,109,20,40,-0.2,5,27,6,0.232,0.42200000000000004,0.325
2014,Jake Marisnick,23,221,55,65,0.5,19,67,8,0.338,0.39,0.39
2015,Jake Marisnick,24,339,80,133,1.8,36,105,18,0.31,0.419,0.384
2016,Jake Marisnick,25,287,60,118,1.2,21,83,16,0.275,0.452,0.355
2017,Jake Marisnick,26,230,56,106,2.1,35,90,20,0.32,0.368,0.478
2018,Jake Marisnick,27,213,45,103,1.2,28,84,15,0.292,0.317,0.452
2019,Jake Marisnick,28,292,68,120,1.0,34,95,17,0.31,0.45299999999999996,0.365
2020,Jake Marisnick,29,33,11,16,0.3,5,10,1,0.429,0.522,0.217
2021,Jake Marisnick,30,176,38,99,0.2,24,65,11,0.306,0.37200000000000005,0.389
2022,Jake Marisnick,31,77,18,31,0.5,6,24,4,0.314,0.33299999999999996,0.45799999999999996
