Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Jason Castro,23,195,40,67,-0.4,8,41,22,0.25,0.41200000000000003,0.366
2012,Jason Castro,25,257,66,87,-0.2,29,61,31,0.309,0.425,0.3
2013,Jason Castro,26,435,120,120,3.9,56,130,50,0.351,0.395,0.353
2014,Jason Castro,27,465,103,126,2.2,56,151,34,0.294,0.44799999999999995,0.35600000000000004
2015,Jason Castro,28,337,71,104,2.5,31,115,33,0.28,0.373,0.382
2016,Jason Castro,29,329,69,113,2.8,32,123,45,0.297,0.45799999999999996,0.34
2017,Jason Castro,30,356,86,110,2.1,47,108,45,0.318,0.419,0.335
2018,Jason Castro,31,63,9,19,0.0,3,26,9,0.216,0.42100000000000004,0.316
2019,Jason Castro,32,237,55,79,1.7,30,88,33,0.307,0.36,0.39299999999999996
2020,Jason Castro,33,80,15,27,0.3,9,33,12,0.289,0.319,0.511
2021,Jason Castro,34,149,35,66,1.0,21,54,25,0.31,0.368,0.358
2022,Jason Castro,35,78,9,34,-0.6,3,40,8,0.211,0.436,0.33299999999999996
