Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Jean Segura,22,151,39,45,-0.3,14,23,13,0.302,0.6559999999999999,0.192
2013,Jean Segura,23,588,173,146,4.0,49,84,25,0.326,0.5870000000000001,0.233
2014,Jean Segura,24,513,126,146,0.1,31,70,28,0.275,0.589,0.22699999999999998
2015,Jean Segura,25,560,144,142,0.1,50,93,13,0.298,0.59,0.242
2016,Jean Segura,26,637,203,153,6.2,64,101,39,0.353,0.531,0.278
2017,Jean Segura,27,524,157,125,3.4,45,83,34,0.339,0.5429999999999999,0.264
2018,Jean Segura,28,586,178,144,3.9,63,69,32,0.327,0.515,0.292
2019,Jean Segura,29,576,161,144,1.6,60,73,30,0.302,0.519,0.271
2020,Jean Segura,30,192,51,54,1.1,25,45,23,0.314,0.479,0.336
2021,Jean Segura,31,514,149,131,3.4,58,78,39,0.317,0.521,0.28800000000000003
2022,Jean Segura,32,354,98,98,1.7,33,58,25,0.307,0.5660000000000001,0.26899999999999996
