Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2008,Jed Lowrie,24,260,67,81,1.6,46,68,35,0.328,0.317,0.43200000000000005
2009,Jed Lowrie,25,68,10,32,-0.3,11,20,6,0.167,0.24,0.66
2010,Jed Lowrie,26,171,49,55,2.0,24,25,25,0.292,0.295,0.541
2011,Jed Lowrie,27,309,78,88,0.2,36,60,23,0.289,0.32899999999999996,0.494
2012,Jed Lowrie,28,340,83,97,2.4,42,65,43,0.257,0.295,0.513
2013,Jed Lowrie,29,603,175,154,3.4,75,91,50,0.319,0.33399999999999996,0.43200000000000005
2014,Jed Lowrie,30,502,125,136,1.7,50,79,51,0.281,0.314,0.44299999999999995
2015,Jed Lowrie,31,230,51,69,1.1,30,43,28,0.233,0.349,0.439
2016,Jed Lowrie,32,338,89,87,-1.2,27,65,26,0.316,0.425,0.32
2017,Jed Lowrie,33,567,157,153,4.0,69,100,73,0.314,0.294,0.435
2018,Jed Lowrie,34,596,159,157,5.2,99,128,78,0.304,0.332,0.434
2021,Jed Lowrie,37,457,112,139,0.7,69,108,49,0.289,0.363,0.414
2022,Jed Lowrie,38,167,30,50,-1.0,16,39,15,0.213,0.41100000000000003,0.41100000000000003
