Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Joey Votto,23,84,27,24,-0.1,17,15,5,0.354,0.275,0.46399999999999997
2008,Joey Votto,24,526,156,151,3.6,84,102,59,0.328,0.441,0.307
2009,Joey Votto,25,469,151,131,4.6,84,106,70,0.372,0.39,0.39299999999999996
2010,Joey Votto,26,547,177,150,6.9,113,125,91,0.361,0.452,0.348
2011,Joey Votto,27,599,185,161,6.4,103,129,110,0.349,0.391,0.33399999999999996
2012,Joey Votto,28,374,126,111,5.3,56,85,94,0.404,0.37799999999999995,0.32
2013,Joey Votto,29,581,177,162,5.7,73,138,135,0.36,0.43700000000000006,0.292
2014,Joey Votto,30,220,56,62,0.8,23,49,47,0.299,0.40700000000000003,0.326
2015,Joey Votto,31,545,171,158,7.3,80,135,143,0.371,0.42200000000000004,0.32799999999999996
2016,Joey Votto,32,556,181,158,4.8,97,120,108,0.366,0.43,0.297
2017,Joey Votto,33,559,179,162,6.1,100,83,134,0.321,0.39,0.38
2018,Joey Votto,34,503,143,145,2.9,67,101,108,0.333,0.375,0.311
2019,Joey Votto,35,525,137,142,0.6,47,123,76,0.313,0.37,0.37799999999999995
2020,Joey Votto,36,186,42,54,0.4,22,43,37,0.235,0.385,0.392
2021,Joey Votto,37,448,119,129,3.6,99,127,77,0.287,0.317,0.418
2022,Joey Votto,38,322,66,91,-0.9,41,97,44,0.257,0.444,0.373
