Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Jonathan Schoop,21,14,4,5,0.0,1,2,1,0.273,0.667,0.16699999999999998
2014,Jonathan Schoop,22,455,95,137,0.4,45,122,13,0.249,0.49200000000000005,0.369
2015,Jonathan Schoop,23,305,85,86,1.3,39,79,9,0.329,0.43,0.377
2016,Jonathan Schoop,24,615,164,162,3.5,82,137,21,0.305,0.45299999999999996,0.349
2017,Jonathan Schoop,25,622,182,160,4.5,105,142,35,0.33,0.419,0.37200000000000005
2018,Jonathan Schoop,26,473,110,131,1.2,61,115,19,0.261,0.452,0.366
2019,Jonathan Schoop,27,433,111,121,2.1,59,116,20,0.298,0.434,0.368
2020,Jonathan Schoop,28,162,45,44,1.5,23,39,8,0.316,0.512,0.304
2021,Jonathan Schoop,29,623,173,156,2.1,84,133,37,0.317,0.48,0.327
2022,Jonathan Schoop,30,481,97,131,1.5,38,107,19,0.234,0.46,0.349
