Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Jonathan Villar,22,210,51,58,-0.4,8,71,24,0.362,0.6559999999999999,0.141
2014,Jonathan Villar,23,263,55,87,0.1,27,80,19,0.271,0.514,0.297
2015,Jonathan Villar,24,116,33,53,0.2,11,29,10,0.36,0.575,0.23
2016,Jonathan Villar,25,589,168,156,3.1,63,174,79,0.373,0.556,0.24100000000000002
2017,Jonathan Villar,26,403,97,122,0.5,40,132,30,0.33,0.574,0.21899999999999997
2018,Jonathan Villar,27,466,121,141,1.9,46,138,41,0.339,0.5589999999999999,0.244
2019,Jonathan Villar,28,642,176,162,4.0,73,176,61,0.341,0.489,0.313
2020,Jonathan Villar,29,185,43,52,-1.1,15,54,19,0.313,0.598,0.212
2021,Jonathan Villar,30,454,113,142,2.5,42,132,46,0.313,0.486,0.307
2022,Jonathan Villar,31,202,42,59,-1.3,18,59,15,0.275,0.601,0.22399999999999998
