Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Jose Altuve,21,221,61,57,0.2,12,29,5,0.309,0.5,0.29600000000000004
2012,Jose Altuve,22,576,167,147,1.9,37,74,40,0.321,0.527,0.271
2013,Jose Altuve,23,626,177,152,0.5,52,85,32,0.316,0.49200000000000005,0.28300000000000003
2014,Jose Altuve,24,660,225,158,5.2,59,53,36,0.36,0.475,0.297
2015,Jose Altuve,25,638,200,154,4.4,66,67,33,0.329,0.467,0.35200000000000004
2016,Jose Altuve,26,640,216,161,6.7,96,70,60,0.347,0.41600000000000004,0.322
2017,Jose Altuve,27,590,204,153,7.5,81,84,58,0.37,0.47,0.327
2018,Jose Altuve,28,534,169,137,5.8,61,79,55,0.352,0.46,0.3
2019,Jose Altuve,29,500,149,124,4.3,74,82,41,0.303,0.499,0.325
2020,Jose Altuve,30,192,42,48,0.0,18,39,17,0.25,0.493,0.297
2021,Jose Altuve,31,601,167,146,5.3,83,91,66,0.28,0.389,0.387
2022,Jose Altuve,32,527,158,141,6.6,57,87,66,0.315,0.41,0.387
