Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Jose Iglesias,22,68,8,25,-0.1,2,16,4,0.137,0.588,0.255
2013,Jose Iglesias,23,350,106,109,2.3,29,60,15,0.356,0.565,0.255
2015,Jose Iglesias,25,416,125,120,1.5,23,44,25,0.33,0.5589999999999999,0.23199999999999998
2016,Jose Iglesias,26,467,119,137,2.0,32,50,28,0.276,0.514,0.28300000000000003
2017,Jose Iglesias,27,463,118,130,1.0,54,65,21,0.285,0.504,0.264
2018,Jose Iglesias,28,432,116,125,1.5,48,47,19,0.291,0.436,0.335
2019,Jose Iglesias,29,504,145,146,1.8,59,70,20,0.315,0.522,0.24100000000000002
2020,Jose Iglesias,30,142,53,39,1.7,24,17,3,0.407,0.429,0.214
2021,Jose Iglesias,31,483,131,137,1.6,48,75,21,0.305,0.42100000000000004,0.345
2022,Jose Iglesias,32,439,128,118,1.0,47,56,17,0.326,0.522,0.257
