Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Jose Ramirez,20,12,4,15,0.2,0,2,2,0.4,0.5,0.4
2014,Jose Ramirez,21,237,62,68,1.0,17,35,13,0.297,0.473,0.284
2015,Jose Ramirez,22,315,69,97,0.5,27,39,32,0.232,0.47600000000000003,0.36200000000000004
2016,Jose Ramirez,23,565,176,152,5.3,76,62,44,0.333,0.409,0.363
2017,Jose Ramirez,24,585,186,152,6.7,83,69,52,0.319,0.389,0.397
2018,Jose Ramirez,25,578,156,157,8.1,105,80,106,0.252,0.33399999999999996,0.45899999999999996
2019,Jose Ramirez,26,482,123,129,3.5,83,74,52,0.256,0.32899999999999996,0.465
2020,Jose Ramirez,27,219,64,58,3.2,46,43,31,0.294,0.301,0.511
2021,Jose Ramirez,28,552,147,152,6.5,103,87,72,0.256,0.35600000000000004,0.452
2022,Jose Ramirez,29,601,168,157,6.2,126,82,69,0.279,0.324,0.506
