Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Josh Bell,23,159,34,53,-0.5,12,53,2,0.301,0.5660000000000001,0.264
2011,Josh Bell,24,61,10,26,-0.8,6,25,4,0.278,0.5,0.306
2012,Josh Bell,25,52,9,21,-0.5,4,14,4,0.216,0.541,0.297
2016,Josh Bell,23,128,35,45,0.0,19,19,21,0.294,0.5,0.28600000000000003
2017,Josh Bell,24,549,140,159,0.5,90,117,66,0.278,0.511,0.312
2018,Josh Bell,25,501,131,148,1.3,62,104,77,0.305,0.485,0.325
2019,Josh Bell,26,527,146,143,2.9,116,118,74,0.288,0.44,0.373
2020,Josh Bell,27,195,44,57,-0.3,22,59,22,0.273,0.557,0.257
2021,Josh Bell,28,498,130,144,1.9,88,101,65,0.276,0.535,0.265
2022,Josh Bell,29,552,147,156,1.9,71,102,81,0.296,0.504,0.309
