Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Josh Donaldson,24,32,5,14,-0.3,4,12,2,0.211,0.5,0.45
2012,Josh Donaldson,26,274,66,75,1.2,33,61,14,0.278,0.39899999999999997,0.376
2013,Josh Donaldson,27,579,174,158,7.3,93,110,76,0.333,0.43799999999999994,0.35600000000000004
2014,Josh Donaldson,28,608,155,158,5.7,98,130,76,0.278,0.45399999999999996,0.41100000000000003
2015,Josh Donaldson,29,620,184,158,8.7,123,133,73,0.314,0.44799999999999995,0.379
2016,Josh Donaldson,30,577,164,155,6.9,99,119,109,0.3,0.382,0.406
2017,Josh Donaldson,31,415,112,113,5.0,78,111,76,0.289,0.41,0.423
2018,Josh Donaldson,32,187,46,52,1.1,23,54,31,0.302,0.478,0.35100000000000003
2019,Josh Donaldson,33,549,142,155,5.2,94,155,100,0.292,0.42200000000000004,0.364
2020,Josh Donaldson,34,81,18,28,0.8,11,24,18,0.231,0.552,0.345
2021,Josh Donaldson,35,457,113,135,3.0,72,114,74,0.268,0.43,0.39899999999999997
2022,Josh Donaldson,36,478,106,132,1.6,62,148,54,0.283,0.43200000000000005,0.387
