Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Josh Harrison,23,195,53,65,0.8,16,24,3,0.304,0.446,0.381
2012,Josh Harrison,24,249,58,104,0.0,16,37,10,0.259,0.36700000000000005,0.41
2013,Josh Harrison,25,88,22,60,0.2,14,10,2,0.253,0.467,0.34700000000000003
2014,Josh Harrison,26,520,164,143,4.8,52,81,22,0.353,0.373,0.387
2015,Josh Harrison,27,418,120,114,1.3,28,71,19,0.336,0.413,0.335
2016,Josh Harrison,28,487,138,131,1.6,59,76,18,0.323,0.44299999999999995,0.363
2017,Josh Harrison,29,486,132,128,2.8,47,90,28,0.303,0.365,0.408
2018,Josh Harrison,30,344,86,97,0.2,37,68,18,0.286,0.377,0.373
2019,Josh Harrison,31,137,24,36,-0.9,8,27,6,0.207,0.364,0.455
2020,Josh Harrison,32,79,22,33,0.2,14,12,6,0.288,0.406,0.348
2021,Josh Harrison,33,505,141,138,2.3,60,75,31,0.313,0.39399999999999996,0.368
2022,Josh Harrison,34,386,99,119,1.4,27,71,21,0.297,0.43799999999999994,0.38799999999999996
