Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Justin Upton,19,140,31,43,-0.6,11,37,11,0.287,0.36,0.48
2008,Justin Upton,20,356,89,108,0.6,42,121,54,0.332,0.37200000000000005,0.419
2009,Justin Upton,21,526,158,138,4.9,86,137,55,0.36,0.455,0.35700000000000004
2010,Justin Upton,22,495,135,133,2.5,69,152,64,0.354,0.414,0.39399999999999996
2011,Justin Upton,23,592,171,159,6.3,88,126,59,0.319,0.369,0.44799999999999995
2012,Justin Upton,24,554,155,150,2.5,67,121,63,0.327,0.43799999999999994,0.35600000000000004
2013,Justin Upton,25,558,147,149,3.5,70,161,75,0.321,0.408,0.37799999999999995
2014,Justin Upton,26,566,153,154,3.7,102,171,60,0.332,0.397,0.402
2015,Justin Upton,27,542,136,150,3.4,81,159,68,0.304,0.387,0.441
2016,Justin Upton,28,570,140,153,1.3,87,179,50,0.301,0.387,0.43
2017,Justin Upton,29,557,152,152,4.4,109,180,74,0.341,0.368,0.43700000000000006
2018,Justin Upton,30,533,137,145,2.6,85,176,64,0.321,0.424,0.358
2019,Justin Upton,31,219,47,63,-0.2,40,78,32,0.261,0.377,0.45899999999999996
2020,Justin Upton,32,147,30,42,0.1,22,43,11,0.219,0.419,0.44799999999999995
2021,Justin Upton,33,318,67,89,0.1,41,107,39,0.254,0.425,0.435
2022,Justin Upton,34,48,6,17,-0.5,3,23,6,0.208,0.28,0.56
