Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Kevin Pillar,24,102,21,36,-0.2,13,29,4,0.257,0.361,0.47200000000000003
2014,Kevin Pillar,25,116,31,53,0.4,7,28,4,0.333,0.511,0.33
2015,Kevin Pillar,26,586,163,159,3.7,56,85,28,0.306,0.414,0.36700000000000005
2016,Kevin Pillar,27,548,146,146,1.8,53,90,24,0.306,0.456,0.33899999999999997
2017,Kevin Pillar,28,587,150,154,1.1,42,95,33,0.28,0.431,0.364
2018,Kevin Pillar,29,512,129,142,1.8,59,98,18,0.281,0.35600000000000004,0.37799999999999995
2019,Kevin Pillar,30,611,158,161,0.4,88,89,18,0.27,0.441,0.363
2020,Kevin Pillar,31,208,60,54,1.0,26,41,13,0.335,0.41,0.349
2021,Kevin Pillar,32,325,75,124,0.8,47,81,11,0.261,0.35100000000000003,0.461
2022,Kevin Pillar,33,12,1,4,0.0,0,4,1,0.125,0.5,0.375
