Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Kole Calhoun,24,23,4,21,-0.1,1,6,2,0.235,0.41200000000000003,0.294
2013,Kole Calhoun,25,195,55,58,1.0,32,41,21,0.311,0.41100000000000003,0.361
2014,Kole Calhoun,26,493,134,127,3.4,58,104,38,0.313,0.43700000000000006,0.325
2015,Kole Calhoun,27,630,161,159,3.2,83,164,45,0.304,0.418,0.354
2016,Kole Calhoun,28,594,161,157,3.5,75,118,67,0.309,0.38,0.39899999999999997
2017,Kole Calhoun,29,569,139,155,1.3,71,134,71,0.284,0.439,0.35
2018,Kole Calhoun,30,491,102,137,0.0,57,133,53,0.241,0.434,0.35200000000000004
2019,Kole Calhoun,31,552,128,152,2.3,74,162,70,0.265,0.408,0.369
2020,Kole Calhoun,32,190,43,54,1.6,40,50,28,0.211,0.375,0.389
2021,Kole Calhoun,33,166,39,51,-0.1,17,41,15,0.281,0.365,0.413
2022,Kole Calhoun,34,388,76,125,-1.1,49,136,27,0.263,0.38,0.376
