Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Kolten Wong,22,59,9,32,-0.3,0,12,3,0.191,0.609,0.217
2014,Kolten Wong,23,402,100,113,1.8,42,71,21,0.275,0.474,0.337
2015,Kolten Wong,24,557,146,150,2.5,61,95,36,0.296,0.447,0.32799999999999996
2016,Kolten Wong,25,313,75,121,1.3,23,52,34,0.268,0.46,0.341
2017,Kolten Wong,26,354,101,108,2.1,42,60,41,0.331,0.48100000000000004,0.318
2018,Kolten Wong,27,353,88,127,2.2,38,60,31,0.275,0.489,0.312
2019,Kolten Wong,28,478,136,148,3.5,59,83,47,0.321,0.44,0.35600000000000004
2020,Kolten Wong,29,181,48,53,1.2,16,30,20,0.311,0.49700000000000005,0.289
2021,Kolten Wong,30,445,121,116,2.5,50,83,31,0.305,0.42200000000000004,0.355
2022,Kolten Wong,31,430,108,134,2.4,47,88,46,0.28,0.418,0.368
