Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Kurt Suzuki,23,213,53,68,1.2,39,39,24,0.267,0.392,0.449
2008,Kurt Suzuki,24,530,148,148,3.9,42,69,44,0.31,0.452,0.359
2009,Kurt Suzuki,25,570,156,147,1.9,88,59,28,0.28,0.444,0.36200000000000004
2010,Kurt Suzuki,26,495,120,131,1.2,71,49,33,0.245,0.42200000000000004,0.408
2011,Kurt Suzuki,27,460,109,134,1.0,44,64,38,0.244,0.358,0.441
2012,Kurt Suzuki,28,408,96,118,-0.8,43,73,20,0.269,0.409,0.418
2013,Kurt Suzuki,29,285,66,94,-0.4,32,35,22,0.245,0.37200000000000005,0.40299999999999997
2014,Kurt Suzuki,30,452,130,131,-0.1,61,46,34,0.31,0.444,0.337
2015,Kurt Suzuki,31,433,104,131,-1.0,50,59,29,0.265,0.43,0.377
2016,Kurt Suzuki,32,345,89,106,0.0,49,48,18,0.276,0.402,0.385
2017,Kurt Suzuki,33,276,78,81,1.5,50,39,17,0.268,0.349,0.466
2018,Kurt Suzuki,34,347,94,105,0.9,50,43,22,0.275,0.355,0.413
2019,Kurt Suzuki,35,280,74,85,0.6,63,36,20,0.248,0.336,0.429
2020,Kurt Suzuki,36,111,30,33,0.0,17,19,11,0.301,0.326,0.43200000000000005
2021,Kurt Suzuki,37,219,49,72,-0.4,16,44,12,0.25,0.429,0.379
2022,Kurt Suzuki,38,139,25,51,-0.8,15,29,15,0.194,0.295,0.518
