Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Leury Garcia,22,101,20,45,-0.5,2,34,7,0.294,0.456,0.294
2014,Leury Garcia,23,145,24,74,-1.3,6,48,5,0.237,0.617,0.245
2015,Leury Garcia,24,14,3,18,-0.1,1,7,1,0.429,1.0,0.0
2016,Leury Garcia,25,48,11,18,0.0,5,13,1,0.294,0.5429999999999999,0.257
2017,Leury Garcia,26,300,81,87,1.0,33,69,13,0.321,0.5529999999999999,0.24100000000000002
2018,Leury Garcia,27,258,70,82,0.7,32,69,9,0.355,0.486,0.22699999999999998
2019,Leury Garcia,28,577,161,140,1.8,40,139,21,0.353,0.5489999999999999,0.23600000000000002
2020,Leury Garcia,29,59,16,16,0.5,8,9,4,0.277,0.5,0.32
2021,Leury Garcia,30,415,111,126,1.8,54,97,41,0.333,0.5579999999999999,0.24100000000000002
2022,Leury Garcia,31,300,63,97,-1.1,20,65,7,0.255,0.502,0.294
