Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2010,Lorenzo Cain,24,147,45,43,1.2,13,28,9,0.37,0.42700000000000005,0.368
2011,Lorenzo Cain,25,22,6,6,0.1,1,4,1,0.333,0.5,0.278
2012,Lorenzo Cain,26,222,59,61,1.4,31,56,15,0.319,0.47100000000000003,0.312
2013,Lorenzo Cain,27,399,100,115,2.0,46,90,33,0.309,0.49200000000000005,0.289
2014,Lorenzo Cain,28,471,142,133,4.4,53,108,24,0.38,0.511,0.261
2015,Lorenzo Cain,29,551,169,140,6.1,72,98,37,0.347,0.455,0.313
2016,Lorenzo Cain,30,397,114,103,2.1,56,84,31,0.341,0.473,0.3
2017,Lorenzo Cain,31,584,175,155,4.7,49,100,54,0.34,0.444,0.32899999999999996
2018,Lorenzo Cain,32,539,166,141,6.1,38,94,71,0.357,0.546,0.23
2019,Lorenzo Cain,33,562,146,148,1.3,48,106,50,0.301,0.502,0.24100000000000002
2020,Lorenzo Cain,34,18,6,5,0.2,2,2,3,0.375,0.5,0.125
2021,Lorenzo Cain,35,257,66,78,1.5,36,48,26,0.287,0.51,0.32899999999999996
2022,Lorenzo Cain,36,145,26,43,-0.6,9,36,8,0.229,0.591,0.282
