Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Manny Machado,19,191,50,51,1.3,26,38,9,0.293,0.46399999999999997,0.397
2013,Manny Machado,20,667,189,156,5.0,71,113,29,0.322,0.47100000000000003,0.32299999999999995
2014,Manny Machado,21,327,91,82,2.3,32,68,20,0.317,0.486,0.309
2015,Manny Machado,22,633,181,162,6.6,86,111,70,0.297,0.43700000000000006,0.385
2016,Manny Machado,23,640,188,157,6.2,96,120,48,0.309,0.373,0.42700000000000005
2017,Manny Machado,24,630,163,156,1.7,95,115,50,0.265,0.42100000000000004,0.42100000000000004
2018,Manny Machado,25,632,188,162,7.0,107,104,70,0.304,0.4,0.42200000000000004
2019,Manny Machado,26,587,150,156,2.2,85,128,65,0.274,0.418,0.41100000000000003
2020,Manny Machado,27,224,68,60,2.6,47,37,26,0.297,0.37200000000000005,0.408
2021,Manny Machado,28,564,157,153,4.2,106,102,63,0.29,0.39,0.40700000000000003
2022,Manny Machado,29,578,172,150,7.4,102,133,63,0.337,0.37799999999999995,0.41600000000000004
