Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Marcell Ozuna,22,275,73,70,1.6,32,57,13,0.326,0.46299999999999997,0.326
2014,Marcell Ozuna,23,565,152,153,4.5,85,164,41,0.337,0.486,0.33799999999999997
2015,Marcell Ozuna,24,459,119,123,1.5,44,110,30,0.32,0.48100000000000004,0.308
2016,Marcell Ozuna,25,557,148,148,2.3,76,115,43,0.296,0.439,0.365
2017,Marcell Ozuna,26,613,191,159,5.7,124,144,64,0.355,0.47100000000000003,0.335
2018,Marcell Ozuna,27,582,163,148,2.6,88,110,38,0.309,0.47100000000000003,0.349
2019,Marcell Ozuna,28,485,117,130,2.0,89,114,62,0.257,0.414,0.35200000000000004
2020,Marcell Ozuna,29,228,77,60,2.5,56,60,38,0.391,0.36700000000000005,0.402
2021,Marcell Ozuna,30,188,40,48,-0.3,26,46,19,0.244,0.366,0.408
2022,Marcell Ozuna,31,470,106,124,-0.5,56,122,31,0.252,0.37799999999999995,0.435
