Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Marcus Semien,22,69,18,21,0.2,7,22,1,0.348,0.271,0.479
2014,Marcus Semien,23,231,54,64,0.5,28,70,21,0.31,0.40299999999999997,0.39
2015,Marcus Semien,24,556,143,155,1.4,45,132,42,0.312,0.381,0.38799999999999996
2016,Marcus Semien,25,568,135,159,2.4,75,139,51,0.268,0.39399999999999996,0.429
2017,Marcus Semien,26,342,85,85,1.2,40,85,38,0.3,0.375,0.42100000000000004
2018,Marcus Semien,27,632,161,159,3.0,70,131,61,0.296,0.392,0.38
2019,Marcus Semien,28,657,187,162,6.6,92,102,87,0.294,0.41100000000000003,0.389
2020,Marcus Semien,29,211,47,53,0.2,23,50,25,0.26,0.32899999999999996,0.466
2021,Marcus Semien,30,652,173,162,6.2,102,146,66,0.276,0.31,0.48100000000000004
2022,Marcus Semien,31,657,163,161,4.2,83,120,53,0.263,0.33799999999999997,0.47200000000000003
