Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Martin Maldonado,25,233,62,78,2.2,30,56,17,0.32,0.435,0.33899999999999997
2013,Martin Maldonado,26,183,31,67,0.6,22,53,13,0.214,0.424,0.44
2014,Martin Maldonado,27,111,26,52,1.4,16,32,11,0.293,0.361,0.45799999999999996
2015,Martin Maldonado,28,229,48,79,1.1,22,65,23,0.272,0.469,0.327
2016,Martin Maldonado,29,208,42,76,1.5,21,56,35,0.234,0.444,0.377
2017,Martin Maldonado,30,429,95,138,3.1,38,119,15,0.273,0.485,0.366
2018,Martin Maldonado,31,373,84,119,1.9,44,98,16,0.28,0.409,0.38
2019,Martin Maldonado,32,333,71,105,0.7,27,86,32,0.25,0.48,0.35
2020,Martin Maldonado,33,135,29,47,0.6,24,51,27,0.295,0.349,0.373
2021,Martin Maldonado,34,373,64,125,0.1,36,127,47,0.221,0.369,0.42200000000000004
2022,Martin Maldonado,35,344,64,113,0.5,45,116,22,0.228,0.424,0.406
