Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2012,Marwin Gonzalez,23,205,48,80,-0.6,12,29,13,0.264,0.5379999999999999,0.266
2013,Marwin Gonzalez,24,204,45,72,-0.4,14,37,9,0.25,0.5429999999999999,0.305
2014,Marwin Gonzalez,25,285,79,103,1.3,23,58,17,0.33,0.516,0.3
2015,Marwin Gonzalez,26,344,96,120,1.5,34,74,16,0.326,0.44299999999999995,0.33
2016,Marwin Gonzalez,27,484,123,141,1.0,51,118,22,0.311,0.474,0.32
2017,Marwin Gonzalez,28,455,138,134,4.6,90,99,49,0.343,0.439,0.36200000000000004
2018,Marwin Gonzalez,29,489,121,145,1.9,68,126,53,0.301,0.41600000000000004,0.358
2019,Marwin Gonzalez,30,425,112,114,1.6,55,98,31,0.31,0.44799999999999995,0.313
2020,Marwin Gonzalez,31,175,37,53,0.6,22,41,17,0.241,0.409,0.38
2021,Marwin Gonzalez,32,276,55,91,-0.5,28,78,20,0.258,0.49200000000000005,0.297
2022,Marwin Gonzalez,33,184,34,86,0.0,18,54,14,0.222,0.364,0.402
