Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Matt Carpenter,25,15,1,7,-0.1,0,4,4,0.091,0.455,0.545
2012,Matt Carpenter,26,296,87,114,1.5,46,63,34,0.346,0.402,0.36
2013,Matt Carpenter,27,626,199,157,7.2,78,98,72,0.359,0.387,0.34
2014,Matt Carpenter,28,595,162,158,3.4,59,111,95,0.318,0.41,0.35200000000000004
2015,Matt Carpenter,29,574,156,154,5.3,84,151,81,0.321,0.297,0.41700000000000004
2016,Matt Carpenter,30,473,128,129,3.7,68,108,81,0.307,0.306,0.43200000000000005
2017,Matt Carpenter,31,497,120,145,3.1,69,125,109,0.274,0.26899999999999996,0.508
2018,Matt Carpenter,32,564,145,156,4.6,81,158,102,0.291,0.264,0.469
2019,Matt Carpenter,33,416,94,129,1.7,46,129,63,0.285,0.316,0.431
2020,Matt Carpenter,34,140,26,50,0.5,24,48,23,0.25,0.385,0.396
2021,Matt Carpenter,35,207,35,130,-0.3,21,77,35,0.25,0.273,0.49200000000000005
2022,Matt Carpenter,36,128,39,47,2.3,37,35,19,0.304,0.228,0.5329999999999999
