Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2009,Michael Brantley,22,112,35,28,-0.6,11,19,8,0.376,0.467,0.272
2010,Michael Brantley,23,297,73,72,-0.5,22,38,22,0.271,0.479,0.317
2011,Michael Brantley,24,451,120,114,1.3,46,76,34,0.303,0.485,0.313
2012,Michael Brantley,25,552,159,149,2.6,60,56,53,0.31,0.48700000000000004,0.28800000000000003
2013,Michael Brantley,26,556,158,151,1.9,73,67,40,0.304,0.47,0.298
2014,Michael Brantley,27,611,200,156,6.5,97,56,52,0.333,0.461,0.282
2015,Michael Brantley,28,529,164,137,3.5,84,51,60,0.318,0.45799999999999996,0.317
2016,Michael Brantley,29,39,9,11,-0.1,7,6,3,0.265,0.441,0.324
2017,Michael Brantley,30,338,101,90,1.8,52,50,31,0.325,0.493,0.284
2018,Michael Brantley,31,570,176,143,3.7,76,60,48,0.319,0.45,0.303
2019,Michael Brantley,32,575,179,148,3.8,90,66,51,0.32,0.45299999999999996,0.308
2020,Michael Brantley,33,170,51,46,1.1,22,28,17,0.336,0.46799999999999997,0.312
2021,Michael Brantley,34,469,146,121,2.3,47,53,33,0.337,0.45899999999999996,0.27899999999999997
2022,Michael Brantley,35,243,70,64,1.2,26,30,31,0.311,0.444,0.313
