Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2007,Miguel Cabrera,24,588,188,157,5.0,119,127,79,0.355,0.4,0.39299999999999996
2008,Miguel Cabrera,25,616,180,160,2.6,127,126,56,0.31,0.41100000000000003,0.39299999999999996
2009,Miguel Cabrera,26,611,198,160,5.1,103,107,68,0.348,0.43200000000000005,0.368
2010,Miguel Cabrera,27,548,180,150,6.1,126,95,89,0.336,0.39299999999999996,0.41700000000000004
2011,Miguel Cabrera,28,572,197,161,6.6,105,89,108,0.365,0.441,0.33799999999999997
2012,Miguel Cabrera,29,622,205,161,7.3,139,98,66,0.331,0.423,0.36
2013,Miguel Cabrera,30,555,193,148,8.6,137,94,90,0.356,0.387,0.374
2014,Miguel Cabrera,31,611,191,159,5.2,109,117,60,0.346,0.4,0.35200000000000004
2015,Miguel Cabrera,32,429,145,119,4.6,76,82,77,0.384,0.42100000000000004,0.327
2016,Miguel Cabrera,33,595,188,158,5.1,108,116,75,0.336,0.41700000000000004,0.355
2017,Miguel Cabrera,34,469,117,130,-0.7,60,110,54,0.292,0.39799999999999996,0.32899999999999996
2018,Miguel Cabrera,35,134,40,38,0.8,22,27,22,0.352,0.546,0.204
2019,Miguel Cabrera,36,493,139,136,-0.5,59,108,48,0.336,0.43799999999999994,0.318
2020,Miguel Cabrera,37,204,51,57,0.3,35,51,24,0.283,0.419,0.316
2021,Miguel Cabrera,38,472,121,130,-0.6,75,118,40,0.305,0.48200000000000004,0.322
2022,Miguel Cabrera,39,397,101,112,-1.5,43,101,28,0.324,0.528,0.249
