Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Mike Moustakas,22,338,89,89,0.3,30,51,22,0.296,0.384,0.41200000000000003
2012,Mike Moustakas,23,563,136,149,3.2,73,124,39,0.274,0.33799999999999997,0.498
2013,Mike Moustakas,24,472,110,136,0.4,42,83,32,0.257,0.366,0.445
2014,Mike Moustakas,25,457,97,140,0.4,54,74,35,0.22,0.386,0.41200000000000003
2015,Mike Moustakas,26,549,156,147,3.8,82,76,43,0.294,0.39899999999999997,0.414
2016,Mike Moustakas,27,104,25,27,0.6,13,13,9,0.214,0.418,0.396
2017,Mike Moustakas,28,555,151,148,2.2,85,94,34,0.263,0.348,0.457
2018,Mike Moustakas,29,573,144,152,2.2,95,103,49,0.259,0.34,0.46299999999999997
2019,Mike Moustakas,30,523,133,143,2.8,87,98,53,0.25,0.358,0.45299999999999996
2020,Mike Moustakas,31,139,32,44,0.5,27,36,18,0.247,0.36200000000000004,0.43799999999999994
2021,Mike Moustakas,32,183,38,62,-0.5,22,46,18,0.239,0.35700000000000004,0.457
2022,Mike Moustakas,33,252,54,78,-0.5,25,75,24,0.272,0.35,0.5
