Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2011,Mike Trout,19,123,27,40,0.7,16,30,9,0.247,0.391,0.402
2012,Mike Trout,20,559,182,139,10.1,83,139,67,0.383,0.444,0.33
2013,Mike Trout,21,589,190,157,10.2,97,136,110,0.376,0.414,0.35600000000000004
2014,Mike Trout,22,602,173,157,8.3,111,184,83,0.349,0.33899999999999997,0.47200000000000003
2015,Mike Trout,23,575,172,159,9.3,90,158,92,0.344,0.37200000000000005,0.384
2016,Mike Trout,24,549,173,159,8.6,100,137,116,0.371,0.41200000000000003,0.36700000000000005
2017,Mike Trout,25,402,123,114,6.3,72,90,94,0.318,0.36700000000000005,0.449
2018,Mike Trout,26,471,147,140,9.5,79,124,122,0.346,0.313,0.45299999999999996
2019,Mike Trout,27,470,137,134,8.4,104,120,110,0.298,0.243,0.49200000000000005
2020,Mike Trout,28,199,56,53,2.5,46,56,35,0.3,0.252,0.503
2021,Mike Trout,29,117,39,36,2.2,18,41,27,0.456,0.42100000000000004,0.342
2022,Mike Trout,30,438,124,119,6.1,80,139,54,0.323,0.247,0.5670000000000001
