Date,Name,Age,AB,H,G,WAR,RBI,SO,BB,BABIP,GB%,FB%
2013,Mike Zunino,22,173,37,52,0.8,14,49,16,0.267,0.42700000000000005,0.387
2014,Mike Zunino,23,438,87,131,3.8,60,158,17,0.248,0.33899999999999997,0.495
2015,Mike Zunino,24,350,61,112,0.7,28,132,21,0.239,0.326,0.5
2016,Mike Zunino,25,164,34,55,1.6,31,65,21,0.25,0.293,0.525
2017,Mike Zunino,26,387,97,124,4.6,64,160,39,0.355,0.32,0.456
2018,Mike Zunino,27,373,75,113,2.1,44,150,24,0.268,0.373,0.44
2019,Mike Zunino,28,266,44,90,0.4,32,98,20,0.22,0.405,0.45799999999999996
2020,Mike Zunino,29,75,11,28,0.0,10,37,6,0.206,0.21100000000000002,0.605
2021,Mike Zunino,30,333,72,109,4.5,62,132,34,0.231,0.302,0.54
2022,Mike Zunino,31,115,17,36,0.0,16,46,6,0.185,0.28600000000000003,0.5429999999999999
